title,authors,published_date,categories,description,rating,user_id
O melhor de mim,Nicholas Sparks,2012-06-11,Fiction,"Na primavera de 1984, os estudantes Amanda Collier e Dawson Cole se apaixonaram perdidamente. Embora vivessem em mundos muito diferentes, o amor que sentiam um pelo outro parecia forte o bastante para desafiar todas as convenções de Oriental, a pequena cidade em que moravam. Nascido em uma família de criminosos, o solitário Dawson acreditava que seu sentimento por Amanda lhe daria a força necessária para fugir do destino sombrio que parecia traçado para ele. Ela, uma garota bonita e de família tradicional, que sonhava entrar para uma universidade de renome, via no namorado um porto seguro para toda a sua paixão e seu espírito livre. Infelizmente, quando o verão do último ano de escola chegou ao fim, a realidade os separou de maneira cruel e implacável. Vinte e cinco anos depois, eles estão de volta a Oriental para o velório de Tuck Hostetler, o homem que um dia abrigou Dawson, acobertou o namoro do casal e acabou se tornando o melhor amigo dos dois. Seguindo as instruções de cartas deixadas por Tuck, o casal redescobrirá sentimentos sufocados há décadas. Após tanto tempo afastados, Amanda e Dawson irão perceber que não tiveram a vida que esperavam e que nunca conseguiram esquecer o primeiro amor. Um único fim de semana juntos e talvez seus destinos mudem para sempre. Num romance envolvente, Nicholas Sparks mostra toda a sua habilidade de contador de histórias e reafirma que o amor é a força mais poderosa do Universo – e que, quando duas pessoas se amam, nem a distância nem o tempo podem separá-las.",5.0,277
The Notebook,Nicholas Sparks,2011-04-07,Fiction,"Celebrating 25 years of The Notebook - the classic novel which became the heart-wrenching film. * Once again, just as I do every day, I begin to read the notebook aloud... Noah Calhoun has returned from war and, in an attempt to escape the ghosts of battle, he sets his mind and his body to restoring an old plantation home to its former beauty. But he is haunted by memories of the beautiful girl he met there years before. A girl who stole his heart at the funfair, whose parents didn't approve, a girl he wrote to every day for a year. When Allie Hamilton shows up on his doorstep, exactly as he has held her in his memory for all these years, Noah has one last chance to win her back. Only this time, it's not just her parents in the way - Allie is engaged and she's not a woman to go back on her promises. The Notebook is the love story to end all love stories - it will break your heart, heal it back up and break it all over again. Praise for Nicholas Sparks: 'A fiercely romantic and touching tale' Heat 'An A-grade romantic read' OK! 'Pulls at the heartstrings' Sunday Times 'An absorbing page-turner' Daily Mail 'This one won't leave a dry eye' Daily Mirror",4.0,182
Heir of Fire,Sarah J. Maas,2014-09-11,Fiction,"'One of the best fantasy book series of the past decade' TIME The heir of ash and fire bows to no one. A new threat rises in the third book in the #1 bestselling Throne of Glass series by Sarah J. Maas. Celaena Sardothien has survived deadly contests and shattering heartbreak, but now she must travel to a new land to confront her darkest truth. That truth could change her life - and her future - forever. Meanwhile, monstrous forces are gathering on the horizon, intent on enslaving her world. To defeat them, Celaena will need the strength not only to fight the evil that is about to be unleashed but also to harness her inner demons. If she is to win this battle, she must find the courage to face her destiny - and burn brighter than ever before. The third book in the #1 New York Times bestselling Throne of Glass series continues Celaena's epic journey from woman to warrior.",4.5,556
Harry Potter e l'Ordine della Fenice,J.K. Rowling,2015-12-08,Juvenile Fiction,"Il quinto anno a Hogwarts si annuncia carico di sfide difficili. Harry non è mai stato così irrequieto: Lord Voldemort è tornato. Che cosa succederà ora che il Signore Oscuro è di nuovo in pieno possesso dei suoi terrificanti poteri? Al contrario di Silente, il Ministro della Magia sembra non prendere sul serio questa spaventosa minaccia. Toccherà a Harry organizzare la resistenza, con l’aiuto degli amici di sempre e il tumultuoso coraggio dell’adolescenza.",4.0,615
Beyaz Kanatlı Vampir 1 - Başım Dertte,ERKAN İŞERİ,2014-04-01,Fiction,"Birdenbire aileleri ortadan yok olan ve bu yüzden kimsesizler okulunda yatılı öğrenci olmak zorunda kalan iki kahramanın maceraları. Bu okul, hayatınızda görüp görebileceğiniz en berbat okuldur ormanın ortasına kondurulmuş, etrafında ağaçlardan başka hiçbir şey yoktur. Kahramanlarımızın talihsizlikleri bunlarla da kalmayıp bir de hırsızlıkla suçlanarak okuldan atılırlar ve bavullarıyla birlikte ormanda yapayalnız kalırlar. Birbirinden habersiz aynı suçla okuldan atılan kahramanların yolu tek bildikleri yer olan göl kıyısındaki bankta kesişir. Sert başlayan tanışma faslı kısa süre sonra dostluğa dönüşür ve macera başlar.",4.0,59
The Butcher and the Wren,Alaina Urquhart,2022-09-13,Fiction,"THE CHILLING SERIAL KILLER THRILLER FROM THE CO-HOST OF CHART-TOPPING PODCAST MORBID 'AMAZING TWISTS. UNPUTDOWNABLE' SAMANTHA DOWNING 'CAPTIVATING. The reader might want to shut their eyes, but the joust between the killer and the pathologist makes that impossible' DAILY MAIL Wren was never afraid of the dark. Until she learned that some monsters are real . . . _________ In deep Louisiana, a serial killer with a taste for medical experimentation is completing his most ambitious project yet. The media call him 'The Butcher' - and, so far, he's proved impossible to catch. With her encyclopaedic knowledge of humanity's darkest minds, and years of experience examining their victims, forensic pathologist Dr Wren Muller is the best there is. The longer the Butcher's killing spree continues, the more determined she is to bring him to justice. And yet, he continues to elude her. As body after body piles up on Wren's examination table, her obsession grows. Pressure to put an end to the slaughter mounts. And her enemy becomes more brazen. How far is Wren willing to go to draw the Butcher into the light . . .? _________ An addictive read with straight-from-the-morgue details only an autopsy technician could provide, The Butcher and the Wren promises to ensnare all who enter. 'Can a medical examiner outsmart a serial killer? The Butcher and the Wren will keep you waiting for an answer until the last bloody page. Prepare to be disturbed. A deliciously dark debut' REA FREY, bestselling author for Not Her Daughter and Secrets of Our House",4.0,511
"Someday, Someday, Maybe",Lauren Graham,2013-04-30,Fiction,"NEW YORK TIMES BESTSELLER • From Lauren Graham, the beloved star of Gilmore Girls and Parenthood, comes a witty, charming, and hilariously relatable debut novel about a struggling young actress trying to get ahead―and keep it together―in New York City. It’s January 1995, and Franny Banks has just six months left of the three-year deadline she set for herself when she came to New York, dreaming of Broadway and doing “important” work. But all she has to show for her efforts so far is a part in an ad for ugly Christmas sweaters, and a gig waiting tables at a comedy club. Her roommates―her best friend Jane, and Dan, an aspiring sci-fi writer―are supportive, yet Franny knows a two-person fan club doesn’t exactly count as success. Everyone tells her she needs a backup plan, and though she can almost picture moving back home and settling down with her perfectly nice ex-boyfriend, she’s not ready to give up on her goal of having a career like her idols Diane Keaton and Meryl Streep. Not just yet. But while she dreams of filling their shoes, in the meantime, she’d happily settle for a speaking part in almost anything—and finding a hair product combination that works. Everything is riding on the upcoming showcase for her acting class, where she’ll finally have a chance to perform for people who could actually hire her. And she can’t let herself be distracted by James Franklin, a notorious flirt and the most successful actor in her class, even though he’s suddenly started paying attention. Meanwhile, her bank account is rapidly dwindling, her father wants her to come home, and her agent doesn’t return her calls. But for some reason, she keeps believing that she just might get what she came for. Someday, Someday, Maybe is a story about hopes and dreams, being young in a city, and wanting something deeply, madly, desperately. It’s about finding love, finding yourself, and perhaps most difficult of all in New York City, finding an acting job. Praise for Someday, Someday, Maybe “A winning, entertaining read . . . [Lauren Graham] has smartly mined just the right details from her own experience, infusing her work with crackling dialogue and observations about show business that ring funny and true.”—The Washington Post “A charmer of a first novel . . . [Graham] has an easy, unforced style and, when the situation calls for it, a keen sense of the ridiculous.”—The Wall Street Journal “With insight, care, and an abundance of humor . . . Graham demonstrates that her acting chops are not her only talent.”—Library Journal “Thoroughly charming.”—Entertainment Weekly “Sweet, funny, and full of heart . . . a dazzling debut.”—Emily Giffin, New York Times bestselling author of Something Borrowed and Where We Belong “Warm and funny, charming and smart.”—Diane Keaton, New York Times bestselling author of Then Again “Graham deftly captures what it’s like to be young, ambitious, and hopeful in New York City.”—Candace Bushnell, New York Times bestselling author of Sex and the City and The Carrie Diaries “Fresh and funny and full of zingers, Lauren Graham’s charming writing style instantly drew me in.”—Meg Cabot, bestselling author of the Princess Diaries and Heather Wells Mystery series",4.0,339
Married to the Devil's Son,JasmineJosef,2019-07-04,Fiction,"【Volume 1 - Married to the Devil's Son】 A prince, rumored to be the son of the Devil. He is the definition of Danger. He is the Darkness itself. A princess. Imprisoned in her own home, only to come out once she gets married. But married to whom? *** Once upon a time, the Devil fell in love with one of the King's many wives. One night he went to her room disguised as her husband and made love to her. She got pregnant with his child. Knowing this The King ordered her execution believing his wife cheated on him, but then the Devil appeared to the king making him a deal. In exchange for great power for his Kingdom, the King will let his wife Sire The Devil's Child. The King who was greedy for power agrees to the deal and his Kingdom becomes one of the most powerful Kingdoms and the Devil's Child, the seventh Prince of the Kingdom. Being a princess probably sounds nice. A life full of luxury, beautiful dresses and nice shoes, but for Hazel, there is nothing nice about being a princess. She can never go outside the palace, she can never have friends, she can never eat or say or wear whatever she wants and she can never choose the person she is going to marry. Soon she's getting married to a man she has never met, a prince rumored to be Son of the Devil. 【Volume 2 - Return of the Devil's Son】 **Sequel to Married to the Devil's son** He is back! This time fiercer, faster and stronger, with only one thing in mind. Revenge! Prince of Darkness, Son of the Devil, Lucian is back, and he has only one thing on his mind. Revenge! That's until he meets her. A woman who entices him beyond reason, but who also claims to be his wife. Surrounded by dark secrets and powerful enemies, Lucian must decide who to trust and who to destroy. After getting her heart broken once, Klara vowed never to fall in love again. But when her brother tries to force her into a marriage and the annoying but wickedly handsome Roshan rescues her, things get difficult. Can she protect her heart from the man whose touch sets her body aflame? Or will she surrender to her desire and risk her heart once again? —————————————————————————————————— 【Volume 3 - The Devil In Her Dreams】 THE BEAST AMONGST US Imagine living in a world full of fiery, feral beings, hiding in the shadows, roving in our dreams, creeping under our skin. Eavesdropping, manipulating our minds and exploring our bodies. They are savages, beasts but some of them are companions and childhood friends. Some are dangerous, others even more dangerous. They live amongst us. Some of us call them Demons, others call them Djinn. But some of them should never be called. THE BEAUTY LOOKING FOR LOVE Heaven, the devil’s granddaughter and princess of Decresh has everything in life. Loving parents, beauty, wealth, and status. But one thing is missing. And that is love. Heaven dreams of the kind of love her parents have and now that she has come of age to get married she has to find her dream man and the future king of Decresh. And she has to find him soon. There is one man. A mysterious silver-eyed stranger who keeps appearing in her dreams. Who is he and what does he want? As the line of suitors grows, Heaven’s dreams become more vivid forcing her to go on a journey to find the man in her dreams. Could he also be the man of her dreams? Or would he turn out to be a nightmare?",4.5,450
Lessons in Chemistry,Bonnie Garmus,2022-04-05,Fiction,"#1 GLOBAL BESTSELLER WITH MORE THAN 8 MILLION COPIES SOLD • Meet Elizabeth Zott: “a gifted research chemist, absurdly self-assured and immune to social convention” (The Washington Post) in 1960s California whose career takes a detour when she becomes the unlikely star of a beloved TV cooking show. • STREAM ON APPLE TV+ This novel is “irresistible, satisfying and full of fuel” (The New York Times Book Review) and “witty, sometimes hilarious...the Catch-22 of early feminism” (Stephen King, via Twitter). A BEST BOOK OF THE YEAR: The New York Times, Washington Post, NPR, Oprah Daily, Entertainment Weekly, Newsweek Chemist Elizabeth Zott is not your average woman. In fact, Elizabeth Zott would be the first to point out that there is no such thing as an average woman. But it’s the early 1960s and her all-male team at Hastings Research Institute takes a very unscientific view of equality. Except for one: Calvin Evans; the lonely, brilliant, Nobel–prize nominated grudge-holder who falls in love with—of all things—her mind. True chemistry results. But like science, life is unpredictable. Which is why a few years later Elizabeth Zott finds herself not only a single mother, but the reluctant star of America’s most beloved cooking show Supper at Six. Elizabeth’s unusual approach to cooking (“combine one tablespoon acetic acid with a pinch of sodium chloride”) proves revolutionary. But as her following grows, not everyone is happy. Because as it turns out, Elizabeth Zott isn’t just teaching women to cook. She’s daring them to change the status quo. Laugh-out-loud funny, shrewdly observant, and studded with a dazzling cast of supporting characters, Lessons in Chemistry is as original and vibrant as its protagonist.",5.0,319
Les jumelles martyres,"Isabelle Grenier, Mireille Grenier",2018-10-03T00:00:00-04:00,Fiction,"Abandonnées dès leur naissance, les jumelles Grenier sont restées à la crèche plus de deux ans sans que personne les adopte... jusqu'à ce qu'un couple décide de les accueillir. L'histoire aurait pu se terminer là et avoir une fin heureuse, mais ce fut loin d'être le cas... Dans cette maison, les fillettes ont été martyrisées, physiquement et sexuellement, et confinées dans le noir le plus complet, dans de minuscules couchettes. Durant des années, elles ont vécu dans un climat de terreur perpétuel. Pourquoi les Services sociaux ne sont-ils pas intervenus plus tôt ? Encore aujourd'hui, la question se pose... Cinquante ans plus tard, les deux femmes témoignent du véritable enfer auquel elles ont survécu, avec une résilience hors du commun et la volonté de changer la société dans laquelle on vit. L'histoire des jumelles Grenier est véridique et appuyée par des faits notés dans les rapports officiels des Services sociaux, entre 1967 et 1973. Elles ont choisi de rompre le silence pour se libérer enfin de ce boulet qu'elles traînent depuis trop longtemps, mais, surtout, pour éviter que ce qu'elles ont subi se répète, dans l'espoir d'un monde plus humain. Tous connaissent Aurore l'enfant martyre, cependant personne ne veut croire que de tels drames se produisent encore. Ce livre est le vibrant témoignage d'une enfance brisée. Un cri du cœur qui nous bouleverse et nous laisse sans mots.",5.0,524
Ett litet liv,Hanya Yanagihara,2016-10-14,Fiction,"En roman för den som vill bli uppslukad av den stora berättelsen – djupt gripande, skoningslös och oförglömlig. Berättelsen om de fyra vännerna JB, Malcolm, Willem och Jude och deras liv i New York spänner över flera decennier och växlar mellan mörker och ljus. Genom åren prövas deras vänskap, men det som håller dem samman är alltid Jude – Jude St Francis, som förblir en gåta även för dem som står honom närmast. Jude är framgångsrik advokat med ett traumatiskt förflutet som präglar hela hans liv på ett oåterkalleligt sätt. Som kontrast till hans mörka uppväxt står vänskapen till framför allt skådespelaren Willem, vars trofasthet och kärlek håller honom vid liv. Genom åren kommer Jude att slitas mellan självföraktet som styr hans tillvaro och kärleken han inte kan tillåta sig. En av årets bästa böcker enligtThe New York Times • The Washington Post • The Wall Street Journal • NPR • Vanity Fair • Vogue • Minneapolis Star Tribune • St. Louis Post-Dispatch • The Guardian • O, The Oprah Magazine • Slate • Newsday • Buzzfeed • The Economist • Newsweek • People • Kansas City Star • Shelf Awareness • Time Out New York • Huffington Post • Book Riot • Refinery29 • Bookpage • Publishers Weekly • KirkusVinnare av THE KIRKUS PRIZE, nominerad till MAN BOOKER PRIZE och NATIONAL BOOK AWARD Nominerad till Årets bok 2017.",3.5,656
The Housekeepers,Alex Hay,2023-07-04,Fiction,"The night of London's grandest ball, a bold group of women downstairs plot a daring revenge heist against Mayfair society in this dazzling historical novel about power, gender, and class Named a Best Book of Summer by The Washington Post * Good Housekeeping * Harper's Bazaar * Reader's Digest “Rollicking fun and entirely original... Anyone who relishes a good party gone wrong will devour this.” —Sarah Penner, New York Times bestselling author of The Lost Apothecary Mrs. King is no ordinary housekeeper. Born into a world of con artists and thieves, she’s made herself respectable, running the grandest home in Mayfair. The place is packed with treasures, a glittering symbol of wealth and power, but dark secrets lurk in the shadows. When Mrs. King is suddenly dismissed from her position, she recruits an eclectic group of women to join her in revenge: A black market queen out to settle her scores. An actress desperate for a magnificent part. A seamstress dreaming of a better life. And Mrs. King’s predecessor, with her own desire for vengeance. Their plan? On the night of the house’s highly anticipated costume ball—set to be the most illustrious of the year—they will rob it of its every possession, right under the noses of the distinguished guests and their elusive heiress host. But there’s one thing Mrs. King wants even more than money: the truth. And she’ll run any risk to get it… After all, one should never underestimate the women downstairs. “A deliciously clever novel... You’ll never have so much fun cheering on grand larceny.” —Nina de Gramont, New York Times bestselling author of The Christie Affair, a Reese’s Book Club Pick *Don't miss Alex Hay's clever next novel, The Queen of Fives, in which a mysterious heiress with a secret sets her sights on London's biggest wedding of the season",4.0,244
Hopeless,Colleen Hoover,2013-07-09,Fiction,"From the #1 New York Times bestselling author of It Ends With Us comes the beginning of Sky and Dean’s passionate love story – where well-kept secrets threaten to open wounds of a dark past. Would you rather know a truth that makes you feel hopeless, or keep believing the lies? Beloved and bestselling author Colleen Hoover returns with the spellbinding story of two young people with devastating pasts who embark on a passionate, intriguing journey to discover the lessons of life, love, trust – and above all, the healing power that only truth can bring. Sky, a senior in high school, meets Dean Holder, a guy with a promiscuous reputation that rivals her own. From their very first encounter, he terrifies and captivates her. Something about him sparks memories of her deeply troubled past, a time she’s tried so hard to bury. Though Sky is determined to stay far away from him, his unwavering pursuit and enigmatic smile break down her defenses and the intensity of the bond between them grows. But the mysterious Holder has been keeping secrets of his own, and once they are revealed, Sky is changed forever and her ability to trust may be a casualty of the truth. Only by courageously facing the stark revelations can Sky and Holder hope to heal their emotional scars and find a way to live and love without boundaries. Hopeless is a novel that will leave you breathless, entranced, and remembering your own first love.",4.5,92
